id;Nome;Tipo;Valor;Categoria;Conta;Data;Obs;desconsiderar;Parcela;Data origem;Data Criacao;TAG
1089;Aplicação;Investimento;-18677,0;Tesouro Selic;Nubank;31/12/2022 00:00;;False;;;23/03/2024 11:58;
1089;Aplicação;Investimento;18677,0;Tesouro Selic;Nuinvest;31/12/2022 00:00;;False;;;23/03/2024 11:58;
1;Correção;Receita;902,19;Outros;Itaú;01/02/2023 00:00;;True;;;;
10;pagamento de cartão;Transferência;3798,85;Transferência;PDA;01/02/2023 00:00;;True;;;;
21;discunto me;Despesa;-16,0;Restaurante;PDA;01/02/2023 00:00;;False;;;;
57;genera;Despesa;-36,58;Compras;PDA;01/02/2023 00:00;;False;1.0;01/02/2023;;
58;Relogio;Despesa;-99,88;Compras;PDA;01/02/2023 00:00;;False;1.0;01/02/2023;;
24;chiquinho;Despesa;-10,0;Restaurante;PDA;01/02/2023 00:00;;False;;;;
59;mercado llivre;Despesa;-17,71;Compras;PDA;01/02/2023 00:00;;False;1.0;01/02/2023;;
60;Hotel urbano(ITALIA);Despesa;-469,25;Viagem;PDA;01/02/2023 00:00;;False;1.0;01/02/2023;;
63;bateria onix;Despesa;-96,68;Serviços;PDA;01/02/2023 00:00;;False;1.0;01/02/2023;;
158;Youcom;Despesa;-81,9;Compras;PDA;01/02/2023 00:00;;False;1.0;01/02/2023;23/04/2023 15:54;
158;Youcom;Despesa;-81,9;Compras;PDA;01/02/2023 00:00;;False;4.0;01/02/2023;23/04/2023 15:54;
61;peças onix mercado livre;Despesa;-33,3;Serviços;PDA;01/02/2023 00:00;;False;4.0;01/02/2023;;
4;nath;Despesa;-600,0;Educação;Itaú;02/02/2023 00:00;;False;;;;
23;microsoft;Despesa;-29,99;TV,Internet,Telefone;PDA;02/02/2023 00:00;;False;1.0;02/02/2023;;
25;Uber;Despesa;-11,92;Transporte;PDA;05/02/2023 00:00;;False;;;;
26;gasosa;Despesa;-100,0;Transporte;PDA;05/02/2023 00:00;;False;;;;
27;mercado;Despesa;-19,34;Supermercado;PDA;05/02/2023 00:00;;False;;;;
28;google wikiloc;Despesa;-41,9;Viagem;PDA;05/02/2023 00:00;;False;;;;
20;google fotos;Despesa;-6,99;TV,Internet,Telefone;PDA;06/02/2023 00:00;;False;1.0;06/02/2023;;
22;youse;Despesa;-200,0;Serviços;PDA;09/02/2023 00:00;;False;1.0;09/02/2023;;
2;caixinha viagem;Despesa;-50,0;Viagem;Itaú;10/02/2023 00:00;;False;;;;
29;santa tereza;Despesa;-82,0;Lazer;PDA;10/02/2023 00:00;;False;;;;
30;fernanda;Despesa;-12,0;Restaurante;PDA;10/02/2023 00:00;;False;;;;
31;rafaelli;Despesa;-52,0;Restaurante;PDA;10/02/2023 00:00;;False;;;;
32;Mercado livre;Despesa;-52,0;Lazer;PDA;10/02/2023 00:00;;False;;;;
33;mc donalds;Despesa;-10,7;Restaurante;PDA;10/02/2023 00:00;;False;;;;
34;jatoba;Despesa;-38,0;Supermercado;PDA;10/02/2023 00:00;;False;;;;
35;capitao tavar;Despesa;-64,0;Lazer;PDA;10/02/2023 00:00;;False;;;;
36;peralta;Despesa;-21,26;Restaurante;PDA;15/02/2023 00:00;;False;;;;
37;gasosa;Despesa;-100,0;Transporte;PDA;15/02/2023 00:00;;False;;;;
38;china in box;Despesa;-54,5;Restaurante;PDA;15/02/2023 00:00;;False;;;;
39;pizzaria poesia;Despesa;-60,0;Restaurante;PDA;15/02/2023 00:00;;False;;;;
40;conectar ;Despesa;-50,0;Viagem;PDA;15/02/2023 00:00;;False;;;;
41;renan filipe;Despesa;-29,0;Restaurante;PDA;15/02/2023 00:00;;False;;;;
5;Tim;Despesa;-59,16;TV,Internet,Telefone;Itaú;17/02/2023 00:00;;False;;;;
6;IPVA;Despesa;-414,27;Serviços;Itaú;17/02/2023 00:00;;False;1.0;17/02/2023;;
42;estacionamento;Despesa;-63,0;Transporte;PDA;20/02/2023 00:00;;False;;;;
43;ifood;Despesa;-20,99;Restaurante;PDA;20/02/2023 00:00;;False;;;;
44;ifood;Despesa;-33,97;Restaurante;PDA;20/02/2023 00:00;;False;;;;
45;jeronimo;Despesa;-50,1;Restaurante;PDA;20/02/2023 00:00;;False;;;;
46;lucas meira lima;Despesa;-57,5;Restaurante;PDA;20/02/2023 00:00;;False;;;;
47;drogal;Despesa;-10,98;Saúde;PDA;20/02/2023 00:00;;False;;;;
48;anuidade;Despesa;-33,75;Multas;PDA;21/02/2023 00:00;;False;1.0;21/02/2023;;
7;Transferência;Transferência;88,32;Transferência;Itaú;22/02/2023 00:00;;True;;;;
7;Transferência;Transferência;-88,32;Transferência;Nubank;22/02/2023 00:00;;True;;;;
49;farmacia;Despesa;-55,62;Saúde;PDA;22/02/2023 00:00;;False;;;;
50;tons cafe;Despesa;-14,0;Restaurante;PDA;22/02/2023 00:00;;False;;;;
